epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5066,0.98697,3.98043,1.15402,0.00156,0.16938,0.00247,0.00144,0.64644,3.72265,0.92754,3.75e-05,3.75e-05,3.75e-05
2,5.15858,0.87299,3.8663,1.06605,0.00185,0.20664,0.00977,0.00749,0.48214,3.62423,0.83959,8.70625e-05,8.70625e-05,8.70625e-05
3,6.70003,0.67958,3.3999,0.93843,0.0063,0.76371,0.15833,0.1358,0.52958,3.30374,0.81165,0.000136492,0.000136492,0.000136492
4,8.24323,0.69062,2.79229,0.94321,0.00743,0.97361,0.29712,0.24279,0.56197,3.19741,0.79778,0.000185732,0.000185732,0.000185732
5,9.82329,0.6932,2.21458,0.94761,0.00786,0.98611,0.39633,0.32184,0.58909,3.13925,0.79874,0.00023475,0.00023475,0.00023475
6,11.354,0.68271,1.76691,0.94829,0.00843,0.98611,0.45907,0.39795,0.57967,3.13678,0.79624,0.000283558,0.000283558,0.000283558
7,12.8867,0.64697,1.33776,0.92352,0.00858,0.94861,0.52001,0.43566,0.56344,3.19436,0.80693,0.000332154,0.000332154,0.000332154
8,14.4892,0.6498,1.06888,0.92468,0.00878,0.89861,0.52583,0.4452,0.56909,3.23193,0.83181,0.000380543,0.000380543,0.000380543
9,16.021,0.62263,0.92967,0.91668,0.00838,0.82361,0.50789,0.41805,0.56262,3.27808,0.83693,0.000428683,0.000428683,0.000428683
10,17.5819,0.64855,0.91301,0.91928,0.00977,0.88774,0.51115,0.43243,0.56843,3.26306,0.82689,0.000476641,0.000476641,0.000476641
11,19.154,0.61633,0.8994,0.92552,0.01003,0.96274,0.58873,0.4786,0.6604,3.08766,0.82061,0.000524393,0.000524393,0.000524393
12,20.6759,0.62278,0.86337,0.92761,0.00919,0.97361,0.56773,0.48135,0.5594,3.02279,0.81308,0.000571895,0.000571895,0.000571895
13,22.2008,0.60377,0.82585,0.91844,0.00782,0.96274,0.59722,0.48332,0.63807,3.04402,0.8201,0.000619251,0.000619251,0.000619251
14,23.7517,0.59798,0.78478,0.9048,0.00731,0.95024,0.57956,0.5076,0.57867,2.9843,0.81671,0.000666383,0.000666383,0.000666383
15,25.2901,0.61098,0.81184,0.9118,0.00722,0.96274,0.63364,0.53828,0.65145,2.94478,0.85619,0.000713278,0.000713278,0.000713278
16,26.8323,0.61337,0.76946,0.92583,1,0.20274,0.74039,0.61974,0.60431,2.83204,0.84375,0.000759984,0.000759984,0.000759984
17,28.386,0.59167,0.73927,0.90449,1,0.25259,0.86445,0.71216,0.63231,2.60995,0.8605,0.000806432,0.000806432,0.000806432
